,cloudiness,humidity,lat,temp,wind speed
252,64,91,21.07,69.84,9.55
253,0,51,30.77,55.8,4.41
254,40,69,41.35,42.82,9.17
255,75,66,7.13,89.6,4.7
256,75,100,46.72,37.4,5.82
257,75,93,21.22,59.0,4.7
258,80,97,56.39,27.85,4.18
259,75,74,47.24,38.84,18.34
260,88,98,54.2,28.75,10.45
261,0,75,46.92,46.4,11.41
262,75,100,36.97,30.2,14.99
263,90,86,44.87,37.4,4.07
264,1,87,40.28,34.79,3.36
265,80,92,50.32,34.42,20.4
266,90,100,45.13,30.2,10.29
267,0,88,38.13,33.75,6.76
268,1,87,26.91,47.62,2.39
269,68,100,10.11,78.52,2.06
270,32,92,53.76,30.9,5.82
271,0,61,31.86,51.84,2.24
272,88,86,62.47,28.4,5.82
273,0,81,39.53,42.8,6.93
274,12,80,41.27,29.47,3.06
275,40,62,43.94,22.28,11.41
276,0,80,38.8,35.91,8.21
277,68,93,43.45,39.15,4.7
278,75,75,51.97,44.6,17.22
279,24,88,-9.17,69.03,11.01
280,40,77,54.23,32.0,8.99
281,75,75,50.87,41.0,21.92
282,90,93,52.04,34.7,11.41
283,8,100,63.07,1.26,27.22
284,0,69,40.9,10.17,6.87
285,40,58,46.86,55.35,4.7
286,1,29,31.61,54.52,8.05
287,1,42,38.52,39.22,9.17
288,0,87,47.43,48.2,11.41
289,90,92,43.41,28.85,4.7
290,56,93,37.18,42.82,1.72
291,92,100,53.83,32.43,11.41
292,0,81,39.06,42.8,6.93
293,1,26,32.73,46.4,6.93
294,0,53,51.4,2.25,1.95
295,20,97,42.32,31.98,9.17
296,90,86,55.78,30.2,4.47
297,0,72,36.73,56.97,8.05
298,75,93,48.85,38.53,6.93
299,1,100,52.5,29.16,6.93
300,8,51,-38.15,76.77,2.84
301,88,100,50.45,32.74,12.75
302,92,100,34.95,40.77,2.62
303,90,86,43.9,27.68,12.75
304,75,93,52.62,37.4,9.17
305,20,45,-33.35,82.4,17.22
306,90,92,49.71,34.66,14.99
307,75,97,45.08,33.8,2.24
308,90,86,59.89,28.4,11.18
309,90,96,50.55,34.68,14.99
310,0,66,26.15,70.02,2.62
311,40,86,42.55,32.18,2.24
312,1,86,41.96,30.07,0.72
313,0,100,37.59,41.0,8.05
314,1,71,37.19,37.54,5.64
315,8,92,-5.11,73.89,7.09
316,90,87,36.89,50.0,11.41
317,20,88,50.89,44.73,21.52
318,75,86,45.57,38.19,4.7
319,75,95,52.92,33.8,9.17
320,75,99,53.23,32.67,9.17
321,0,86,51.94,30.2,9.17
322,0,100,41.41,33.12,8.99
323,75,88,-8.84,77.0,2.24
324,0,89,39.53,47.7,6.64
325,0,52,31.56,46.4,15.66
326,40,94,19.48,70.41,4.7
327,56,51,46.86,57.16,23.04
328,75,95,52.85,35.33,9.17
329,64,93,-7.3,78.39,4.63
330,0,85,46.79,31.06,3.36
331,92,98,51.58,36.72,10.33
332,90,64,39.83,36.5,17.22
333,90,70,41.59,32.31,24.16
334,0,71,48.15,11.47,6.42
335,0,80,51.2,26.01,7.87
336,20,86,49.25,39.18,17.22
337,92,94,53.52,37.48,13.8
338,75,100,51.15,33.8,18.34
339,48,100,58.47,32.0,5.82
340,90,100,60.47,26.6,6.93
341,90,100,44.78,36.46,10.29
342,75,93,43.7,45.07,8.05
343,90,86,45.32,38.3,2.62
